"Kerncijfers wijken en buurten 2018"
""
"";"Topic"
"";"Regioaanduiding|Soort regio";"Regioaanduiding|Indelingswijziging wijken en buurten";"Bevolking|Aantal inwoners";"Bevolking|Geslacht|Mannen";"Bevolking|Geslacht|Vrouwen";"Bevolking|Leeftijdsgroepen|0 tot 15 jaar";"Bevolking|Leeftijdsgroepen|15 tot 25 jaar";"Bevolking|Leeftijdsgroepen|25 tot 45 jaar";"Bevolking|Leeftijdsgroepen|45 tot 65 jaar";"Bevolking|Leeftijdsgroepen|65 jaar of ouder";"Bevolking|Bevolkingsdichtheid";"Inkomen|Inkomen van personen|Aantal inkomensontvangers  ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inkomensontvanger ";"Inkomen|Inkomen van personen|Gemiddeld inkomen per inwoner ";"Inkomen|Inkomen van personen|40% personen met laagste inkomen";"Inkomen|Inkomen van personen|20% personen met hoogste inkomen";"Inkomen|Inkomen van personen|Actieven 15-75 jaar";"Inkomen|Inkomen van huishoudens|40% huishoudens met laagste inkomen";"Inkomen|Inkomen van huishoudens|20% huishoudens met hoogste inkomen";"Inkomen|Inkomen van huishoudens|Huishoudens met een laag inkomen";"Inkomen|Inkomen van huishoudens|Huish. onder of rond sociaal minimum";"Postcode|Meest voorkomende postcode";"Postcode|Dekkingspercentage"
"Surinamepleinbuurt";"Buurt";"1";"1540";"660";"880";"185";"175";"650";"330";"205";"18330";"1300";".";".";"30,8";"32,7";"71,6";"49,9";"21,3";"7,0";"6,4";"1058";"1"
"Westlandgrachtbuurt";"Buurt";"1";"3595";"1690";"1905";"470";"310";"1685";"790";"345";"22678";"3000";"44,0";"37,0";"26,6";"36,4";"75,2";"43,8";"21,2";"8,4";"8,8";"1058";"1"
"Aalsmeerwegbuurt West";"Buurt";"1";"2535";"1170";"1365";"275";"265";"1340";"480";"180";"25911";"2200";".";"38,7";"27,5";"38,1";"76,3";"40,7";"24,1";"9,5";"9,2";"1059";"1"
"Aalsmeerwegbuurt Oost";"Buurt";"1";"2195";"1035";"1155";"255";"215";"990";"530";"205";"19435";"1800";".";".";"27,8";"35,5";"74,1";"42,3";"22,2";"9,3";"9,4";"1059";"1"
"Legmeerpleinbuurt";"Buurt";"1";"1700";"790";"905";"235";"160";"760";"390";"165";"24491";"1400";".";".";"28,0";"37,5";"72,6";"43,4";"23,0";"9,0";"7,9";"1058";"1"
"Bedrijventerrein Schinkel";"Buurt";"1";"265";"135";"130";"15";"120";"60";"60";"20";"817";"100";".";".";"41,8";"24,7";"66,4";"61,9";"23,8";".";".";"1059";"1"
"Schinkelbuurt";"Wijk";"1";"3820";"1815";"2000";"385";"405";"1805";"890";"345";"13187";"3300";"42,3";"36,9";"33,6";"32,0";"71,0";"49,8";"18,6";"12,5";"11,5";".";"."
"Schinkelbuurt Noord";"Buurt";"1";"2350";"1120";"1225";"235";"260";"1150";"530";"185";"23525";"2000";".";".";"29,4";"37,2";"74,7";"43,5";"22,2";"8,8";"8,0";"1075";"1"
"Schinkelbuurt Zuid";"Buurt";"1";"1470";"690";"775";"150";"150";"655";"360";"160";"7748";"1300";".";".";"40,3";"23,6";"65,0";"59,7";"12,9";"18,3";"17,1";"1075";"1"
"Willemspark";"Wijk";"1";"5500";"2710";"2785";"1085";"565";"1635";"1505";"720";"8617";"3900";"94,8";"68,5";"26,8";"47,9";"67,0";"27,8";"45,1";"6,0";"5,6";".";"."
"Valeriusbuurt Oost";"Buurt";"1";"1360";"685";"675";"320";"140";"325";"405";"180";"11848";"900";".";".";"24,7";"54,3";"64,5";"20,0";"55,6";"4,0";"3,8";"1075";"1"
"Valeriusbuurt West";"Buurt";"1";"2560";"1245";"1310";"505";"230";"835";"660";"335";"18857";"1900";".";"53,5";"26,4";"45,7";"68,8";"29,0";"41,8";"6,5";"6,3";"1075";"1"
"Willemsparkbuurt Noord";"Buurt";"1";"1580";"775";"800";"260";"200";"475";"445";"205";"8391";"1100";".";".";"29,1";"46,6";"66,3";"31,7";"42,6";"6,7";"5,8";"1075";"1"
"Vondelpark West";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1075";"1"
"Museumkwartier";"Wijk";"1";"12625";"6145";"6480";"1920";"1165";"3825";"3285";"2435";"9613";"9600";"78,7";"61,5";"26,4";"44,8";"64,6";"32,7";"37,4";"6,4";"6,2";".";"."
"Johannnes Vermeerbuurt";"Buurt";"1";"1470";"710";"755";"225";"130";"460";"400";"260";"9519";"1100";".";".";"24,9";"49,1";"67,3";"28,5";"46,3";"6,8";"6,1";"1071";"1"
"P.C. Hooftbuurt";"Buurt";"1";"765";"385";"375";"95";"60";"280";"205";"130";"6908";"600";".";".";"28,0";"47,2";"69,0";"31,8";"42,8";"6,2";"5,7";"1071";"1"
"Concertgebouwbuurt";"Buurt";"1";"1855";"915";"935";"325";"195";"515";"505";"315";"14051";"1300";".";".";"27,5";"46,6";"63,3";"30,0";"43,4";"6,5";"6,1";"1071";"1"
"Cornelis Schuytbuurt";"Buurt";"1";"2910";"1450";"1460";"530";"320";"750";"860";"455";"14954";"2100";".";"80,3";"28,2";"48,4";"65,2";"26,3";"48,5";"5,6";"5,2";"1071";"1"
"Banpleinbuurt";"Buurt";"1";"815";"385";"430";"145";"90";"130";"245";"215";"7959";"600";".";".";"26,8";"47,8";"59,3";"25,0";"46,7";"4,4";"4,1";"1071";"1"
"Hondecoeterbuurt";"Buurt";"1";"2025";"960";"1065";"340";"190";"670";"480";"355";"16309";"1500";".";".";"25,0";"44,9";"65,1";"35,3";"35,3";"6,9";"7,3";"1071";"1"
"Harmoniehofbuurt";"Buurt";"1";"1375";"625";"745";"115";"75";"290";"310";"590";"14052";"1200";".";".";"25,8";"31,5";"48,7";"41,6";"14,9";"6,2";"5,3";"1071";"1"
"Museumplein";"Buurt";"1";"5";"5";"0";"0";"0";"0";"5";"5";".";"0";".";".";".";".";".";".";".";".";".";"1071";"1"
"Vondelpark Oost";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"5";".";"0";".";".";".";".";".";".";".";".";".";"1071";"1"
"Duivelseiland";"Buurt";"1";"1385";"685";"700";"155";"110";"730";"285";"115";"23712";"1200";".";".";"24,7";"43,6";"76,2";"41,2";"24,5";"8,0";"8,5";"1071";"1"
"Stadionbuurt";"Wijk";"1";"11790";"5500";"6290";"1485";"1185";"4475";"2885";"1765";"12319";"9800";"42,2";"35,5";"36,4";"29,9";"64,0";"50,9";"19,0";"12,5";"12,6";".";"."
"Bertelmanpleinbuurt";"Buurt";"1";"1085";"495";"585";"90";"130";"360";"290";"225";"19975";"1000";".";".";"44,7";"16,7";"55,5";"61,6";"9,6";"16,0";"17,6";"1075";"1"
"Marathonbuurt Oost";"Buurt";"1";"1480";"705";"775";"155";"175";"455";"435";"265";"9915";"1300";".";".";"40,5";"22,3";"58,1";"57,3";"10,4";"13,5";"14,1";"1076";"1"
"Marathonbuurt West";"Buurt";"1";"2405";"1145";"1260";"240";"240";"835";"705";"390";"20397";"2100";".";".";"48,3";"18,0";"54,7";"63,0";"8,4";"21,7";"20,6";"1076";"1"
"Olympisch Stadion e.o.";"Buurt";"1";"2260";"1055";"1205";"425";"150";"880";"465";"345";"10816";"1700";".";".";"28,7";"43,9";"68,7";"36,4";"34,8";"7,8";"8,1";"1076";"1"
"IJsbaanpad e.o.";"Buurt";"1";"405";"200";"200";"95";"45";"80";"140";"55";"1786";"300";".";".";"28,7";"36,5";"66,1";"28,6";"42,9";"5,0";"4,4";"1076";"1"
"Van Tuyllbuurt";"Buurt";"1";"4150";"1890";"2255";"485";"450";"1875";"850";"495";"20802";"3500";"46,7";"39,6";"29,7";"36,2";"71,2";"46,2";"22,4";"8,2";"8,3";"1076";"1"
"Apollobuurt";"Wijk";"1";"8640";"4080";"4555";"1750";"905";"2220";"2225";"1550";"9775";"6100";"82,7";"59,6";"25,3";"50,5";"63,7";"28,1";"46,4";"6,2";"5,5";".";"."
"Diepenbrockbuurt";"Buurt";"1";"800";"380";"420";"185";"90";"170";"220";"145";"4177";"500";".";".";"25,5";"55,6";"62,8";"19,1";"57,1";"6,2";"5,8";"1077";"1"
"Beethovenbuurt";"Buurt";"1";"1220";"570";"645";"235";"145";"270";"330";"245";"8376";"900";".";".";"27,9";"49,6";"60,2";"31,1";"47,2";"7,5";"7,7";"1077";"1"
"Hiltonbuurt";"Buurt";"1";"85";"40";"45";"25";"15";"10";"35";"10";"920";"100";".";".";".";".";".";".";".";".";".";"1077";"1"
"Minervabuurt Noord";"Buurt";"1";"1435";"685";"745";"315";"135";"345";"395";"250";"9963";"1000";".";".";"25,4";"50,6";"62,7";"25,5";"50,6";"6,9";"5,7";"1077";"1"
"Minervabuurt Midden";"Buurt";"1";"2445";"1135";"1310";"485";"300";"615";"630";"420";"16265";"1700";".";".";"26,2";"50,4";"62,8";"29,9";"45,5";"6,3";"5,5";"1077";"1"
"Minervabuurt Zuid";"Buurt";"1";"2640";"1255";"1385";"505";"220";"815";"615";"485";"17128";"2000";".";"51,7";"23,3";"49,4";"67,0";"29,1";"41,9";"5,3";"4,5";"1077";"1"
"IJburg Oost";"Wijk";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";".";"."
"Strandeiland";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";".";"."
"Middeneiland Zuidoost";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";".";"."
"Middeneiland Zuidwest";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";".";"."
"Buiteneiland";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";".";"."
"Centrumeiland";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1087";"1"
"IJburg Zuid";"Wijk";"1";"8095";"3895";"4200";"2510";"780";"2840";"1700";"275";"12215";"5300";"44,9";"29,7";"32,1";"37,5";"70,4";"29,4";"35,0";"10,2";"8,7";".";"."
"Rieteiland Oost";"Buurt";"1";"265";"125";"140";"100";"20";"60";"85";"5";"2579";"200";".";".";"18,6";"66,7";"83,6";".";".";".";".";"1087";"1"
"Haveneiland Oost";"Buurt";"1";"6015";"2930";"3085";"1990";"560";"2055";"1265";"155";"13533";"3800";"47,3";"30,4";"30,0";"41,3";"71,9";"26,7";"41,1";"9,7";"7,8";"1087";"1"
"Haveneiland Noord";"Buurt";"1";"1810";"840";"970";"420";"200";"730";"355";"115";"15845";"1300";".";".";"39,7";"23,1";"64,4";"38,9";"14,5";"12,4";"11,5";"1087";"1"
"Scheldebuurt";"Wijk";"1";"15115";"6940";"8170";"2160";"1550";"6205";"3070";"2135";"15283";"12200";"48,1";"39,7";"27,5";"37,7";"71,5";"43,3";"26,4";"7,6";"8,1";".";"."
"Wielingenbuurt";"Buurt";"1";"3055";"1390";"1665";"455";"310";"1215";"695";"385";"21889";"2500";".";"43,5";"24,4";"40,9";"73,3";"37,8";"30,6";"6,4";"6,9";"1078";"1"
"Scheldebuurt West";"Buurt";"1";"4415";"2030";"2385";"625";"480";"1765";"910";"640";"17559";"3600";"45,6";"37,6";"29,3";"35,1";"70,2";"45,0";"24,4";"8,0";"8,7";"1078";"3"
"Scheldebuurt Midden";"Buurt";"1";"3200";"1460";"1740";"490";"380";"1305";"605";"425";"19986";"2600";"47,1";"38,4";"28,5";"38,9";"70,6";"44,3";"28,2";"5,6";"6,3";"1078";"3"
"Scheldebuurt Oost";"Buurt";"1";"2380";"1090";"1285";"335";"295";"985";"485";"285";"16939";"2000";".";".";"28,8";"36,7";"71,3";"42,5";"25,4";"6,2";"7,0";"1079";"3"
"Veluwebuurt";"Buurt";"1";"1490";"690";"795";"180";"70";"545";"320";"380";"11393";"1200";".";".";"31,8";"28,3";"66,6";"57,1";"14,9";"16,3";"16,0";"1079";"1"
"Kop Zuidas";"Buurt";"1";"565";"275";"290";"80";"25";"385";"60";"20";"3421";"500";".";".";"8,7";"62,3";"88,2";"15,2";"46,0";"1,0";"1,0";"1079";"1"
"IJselbuurt";"Wijk";"1";"5385";"2575";"2810";"575";"685";"2250";"1205";"680";"21012";"4600";"34,8";"30,1";"38,1";"24,1";"65,4";"56,5";"14,3";"13,3";"13,3";".";"."
"IJselbuurt West";"Buurt";"1";"2420";"1165";"1255";"240";"250";"1030";"570";"340";"19596";"2100";".";".";"37,5";"24,1";"65,3";"58,2";"12,5";"15,0";"15,3";"1078";"1"
"IJselbuurt Oost";"Buurt";"1";"2960";"1405";"1550";"335";"435";"1220";"635";"340";"22332";"2500";"35,0";"29,9";"38,7";"24,1";"65,5";"55,0";"15,9";"11,8";"11,4";"1078";"1"
"Rijnbuurt";"Wijk";"1";"9160";"4305";"4855";"960";"1070";"3735";"2110";"1290";"9494";"7900";"37,1";"32,3";"37,0";"26,8";"65,0";"56,0";"15,4";"13,6";"13,6";".";"."
"Kromme Mijdrechtbuurt";"Buurt";"1";"2490";"1165";"1325";"250";"305";"1010";"585";"350";"14944";"2100";".";".";"38,7";"24,3";"63,1";"58,3";"13,7";"14,7";"14,0";"1079";"1"
"Rijnbuurt Oost";"Buurt";"1";"2750";"1305";"1445";"290";"350";"1220";"580";"315";"14385";"2400";".";"35,0";"31,4";"32,9";"71,0";"48,6";"19,6";"9,5";"9,6";"1079";"1"
"Rijnbuurt Midden";"Buurt";"1";"2180";"995";"1180";"215";"270";"975";"450";"280";"8442";"1900";".";".";"33,2";"30,1";"70,3";"51,1";"18,0";"9,5";"9,5";"1079";"1"
"Rijnbuurt West";"Buurt";"1";"1685";"810";"875";"200";"140";"530";"490";"340";"21276";"1400";".";".";"49,3";"15,8";"50,0";"70,8";"7,2";"23,3";"23,8";"1079";"1"
"Zorgvlied";"Buurt";"1";"45";"25";"20";"10";"5";"10";"15";"10";"175";"0";".";".";".";".";".";".";".";".";".";"1079";"1"
"Frankendael";"Wijk";"1";"10800";"5370";"5425";"1415";"1515";"3810";"2440";"1625";"6828";"8300";"34,8";"29,1";"40,2";"24,5";"60,8";"58,4";"16,7";"12,5";"12,0";".";"."
"De Eenhoorn";"Buurt";"1";"2415";"1260";"1150";"155";"740";"1230";"230";"65";"13790";"1600";".";".";"48,0";"23,4";"60,2";"72,8";"10,5";"11,1";"8,5";"1097";"1"
"Julianapark";"Buurt";"1";"775";"395";"380";"90";"45";"345";"185";"120";"4217";"700";".";".";"19,5";"46,2";"73,6";"29,2";"33,2";"4,4";"5,4";"1097";"1"
"Don Bosco";"Buurt";"1";"2150";"1080";"1065";"385";"220";"755";"535";"260";"13684";"1700";".";".";"31,8";"32,3";"68,8";"40,5";"29,0";"6,9";"5,6";"1097";"1"
"Frankendael";"Buurt";"1";"10";"0";"5";"0";"0";"5";"10";"0";"49";"0";".";".";".";".";".";".";".";".";".";"1097";"1"
"Tuindorp Amstelstation";"Buurt";"1";"830";"385";"445";"95";"80";"205";"260";"195";"7632";"700";".";".";"56,8";"5,4";"42,9";"75,2";"3,5";"24,1";"24,3";"1097";"1"
"De Wetbuurt";"Buurt";"1";"1850";"840";"1005";"305";"170";"420";"540";"420";"6680";"1400";".";".";"37,2";"26,0";"63,0";"49,9";"21,1";"9,1";"8,8";"1097";"1"
"Tuindorp Frankendael";"Buurt";"1";"2195";"1110";"1085";"305";"165";"685";"560";"490";"6098";"1800";".";".";"41,2";"20,4";"56,7";"63,9";"12,5";"17,0";"17,4";"1097";"1"
"Van der Kunbuurt";"Buurt";"1";"560";"285";"275";"85";"100";"175";"125";"80";"7685";"500";".";".";"54,2";"9,1";"49,0";"71,0";"6,7";"20,0";"18,5";"1097";"1"
"Middenmeer";"Wijk";"1";"15450";"7335";"8115";"2520";"2845";"4650";"3720";"1725";"5453";"11700";"43,1";"33,9";"33,5";"34,0";"65,5";"44,2";"27,5";"6,1";"5,6";".";"."
"Linnaeusparkbuurt";"Buurt";"1";"2575";"1265";"1305";"435";"265";"835";"705";"345";"14992";"2000";".";"40,9";"28,7";"39,7";"70,2";"36,7";"32,3";"6,9";"6,2";"1098";"1"
"Middenmeer Noord";"Buurt";"1";"2995";"1395";"1595";"585";"435";"815";"810";"360";"16158";"2300";".";"33,3";"33,9";"34,0";"64,8";"40,7";"31,7";"7,0";"7,0";"1098";"1"
"Middenmeer Zuid";"Buurt";"1";"5155";"2460";"2695";"1075";"590";"1645";"1245";"605";"13021";"3900";"43,9";"33,5";"29,4";"34,8";"71,7";"39,1";"28,4";"5,2";"5,2";"1098";"1"
"Sportpark Middenmeer Zuid";"Buurt";"1";"300";"130";"165";"25";"15";"55";"75";"140";"1429";"300";".";".";"28,3";"27,9";"54,0";"44,4";"23,3";"3,4";"5,6";"1098";"1"
"Sportpark Middenmeer Noord";"Buurt";"1";"0";"0";"0";"0";"0";"0";"5";"0";".";"0";".";".";".";".";".";".";".";".";".";"1098";"1"
"Park de Meer";"Buurt";"1";"1645";"785";"855";"230";"240";"305";"645";"235";"6365";"1300";".";".";"34,3";"34,1";"62,2";"29,7";"35,4";"6,8";"5,3";"1098";"1"
"Sportpark Voorland";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1098";"1"
"Science Park Noord";"Buurt";"1";"2735";"1265";"1470";"175";"1305";"990";"230";"40";"6696";"1800";".";".";"47,1";"26,9";"53,8";"68,1";"15,2";"6,2";"3,8";"1098";"1"
"Science Park Zuid";"Buurt";"1";"30";"15";"15";"5";"0";"15";"10";"10";"49";"0";".";".";".";".";".";".";".";".";".";"1098";"1"
"Betondorp";"Wijk";"1";"3250";"1515";"1735";"400";"260";"895";"900";"800";"2989";"2800";"26,9";"23,0";"47,7";"13,0";"53,1";"65,3";"6,1";"16,2";"18,5";".";"."
"Betondorp";"Buurt";"1";"3245";"1510";"1735";"400";"260";"895";"895";"800";"7406";"2800";"26,9";"23,0";"47,7";"12,9";"53,1";"65,4";"6,2";"16,3";"18,5";"1097";"1"
"Nieuwe Oosterbegraafplaats";"Buurt";"1";"5";"0";"0";"0";"5";"0";"5";"0";".";"0";".";".";".";".";".";".";".";".";".";"1097";"1"
"Drieburg";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1097";"1"
"Omval/Overamstel";"Wijk";"1";"4600";"2405";"2190";"310";"1450";"2070";"570";"205";"1616";"3700";"37,2";"33,4";"45,5";"25,8";"61,4";"68,1";"14,1";"13,2";"9,1";".";"."
"Weespertrekvaart";"Buurt";"1";"1410";"785";"625";"75";"655";"580";"95";"15";"3098";"900";".";".";"69,8";"4,5";"45,4";"92,7";"2,1";"30,3";"20,2";"1096";"1"
"Amstelglorie";"Buurt";"1";"80";"40";"35";"10";"10";"20";"30";"15";"178";"100";".";".";".";".";".";".";".";".";".";"1096";"1"
"Overamstel";"Buurt";"1";"40";"20";"15";"0";"5";"20";"15";"0";"36";"0";".";".";".";".";".";".";".";".";".";"1096";"1"
"Amstelkwartier Noord";"Buurt";"1";"1745";"880";"865";"160";"445";"900";"205";"40";"6197";"1500";".";".";"34,1";"33,9";"72,3";"56,4";"18,0";"8,5";"6,2";"1096";"1"
"De Omval";"Buurt";"1";"725";"380";"345";"65";"40";"315";"195";"120";"6329";"600";".";".";"19,2";"55,8";"75,6";"20,3";"43,2";"5,6";"4,1";"1096";"1"
"Amstelkwartier Zuid";"Buurt";"1";"30";"15";"10";"0";"5";"10";"10";"10";"132";"0";".";".";".";".";".";".";".";".";".";"1096";"1"
"Amstelkwartier West";"Buurt";"1";"560";"270";"285";"5";"295";"235";"25";"10";"2657";"500";".";".";"69,6";"4,3";"41,4";"95,1";"1,0";"12,8";"8,2";"1096";"1"
"Prinses Irenebuurt e.o.";"Wijk";"1";"1335";"610";"720";"255";"120";"335";"315";"315";"3493";"1000";".";".";"23,9";"50,4";"62,0";"21,1";"40,5";"4,6";"4,1";".";"."
"Prinses Irenebuurt";"Buurt";"1";"1335";"610";"720";"255";"120";"335";"315";"315";"5465";"1000";".";".";"23,9";"50,4";"62,0";"21,1";"40,5";"4,6";"4,1";"1077";"3"
"Beatrixpark";"Buurt";"1";"0";"0";"0";"0";"0";"0";"0";"0";".";"0";".";".";".";".";".";".";".";".";".";"1077";"1"
"Volewijck";"Wijk";"1";"9755";"4820";"4935";"1650";"1090";"3180";"2650";"1195";"8166";"7700";"23,9";"19,0";"53,2";"9,8";"54,0";"66,6";"6,5";"21,6";"20,4";".";"."
"Van der Pekbuurt";"Buurt";"1";"4950";"2435";"2515";"885";"620";"1770";"1275";"410";"10091";"3800";"22,9";"18,0";"55,9";"8,1";"53,8";"70,8";"5,3";"25,3";"23,0";"1031";"1"
"Bloemenbuurt Zuid";"Buurt";"1";"2435";"1195";"1235";"445";"270";"700";"650";"380";"6812";"1900";".";".";"53,8";"10,0";"51,7";"67,2";"7,8";"21,0";"20,3";"1032";"1"
"Bloemenbuurt Noord";"Buurt";"1";"2365";"1185";"1180";"325";"205";"710";"730";"405";"6837";"1900";".";".";"47,5";"12,9";"56,4";"57,1";"7,7";"14,7";"15,4";"1032";"1"
"IJplein/Vogelbuurt";"Wijk";"1";"8250";"4165";"4085";"1310";"920";"2860";"2230";"940";"6962";"6600";"25,7";"20,7";"49,6";"12,0";"55,9";"61,1";"8,7";"20,4";"19,4";".";"."
"IJplein e.o.";"Buurt";"1";"2490";"1305";"1180";"315";"245";"815";"780";"340";"12285";"2100";".";".";"48,0";"11,9";"55,4";"63,8";"6,4";"20,8";"20,0";"1021";"1"
"Vogelbuurt Zuid";"Buurt";"1";"4315";"2115";"2200";"745";"525";"1535";"1070";"445";"13463";"3400";"25,0";"19,8";"51,5";"11,3";"55,0";"61,6";"9,3";"21,0";"20,0";"1021";"1"
"Vogelbuurt Noord";"Buurt";"1";"1270";"640";"625";"210";"120";"480";"320";"145";"4418";"1000";".";".";"48,4";"11,6";"58,5";"57,5";"7,9";"18,9";"17,3";"1022";"1"
"Vliegenbos";"Buurt";"1";"170";"95";"75";"40";"30";"35";"60";"10";"460";"100";".";".";"33,1";"38,8";"68,5";".";".";".";".";"1022";"1"
"Tuindorp Nieuwendam";"Wijk";"1";"3535";"1650";"1880";"520";"310";"800";"1085";"825";"8229";"2900";"27,0";"22,3";"44,8";"12,2";"55,1";"58,4";"10,4";"11,7";"12,4";".";"."
"Tuindorp Nieuwendam West";"Buurt";"1";"1050";"485";"565";"110";"95";"225";"325";"305";"9424";"900";".";".";"45,5";"11,5";"50,7";"56,5";"10,2";"8,3";"10,4";"1023";"1"
"Tuindorp Nieuwendam Oost";"Buurt";"1";"2480";"1165";"1315";"410";"215";"580";"765";"520";"7810";"2000";".";".";"44,5";"12,5";"57,0";"59,2";"10,5";"13,1";"13,3";"1023";"1"
"Tuindorp Buiksloot";"Wijk";"1";"1910";"930";"975";"305";"195";"475";"600";"335";"11330";"1500";".";".";"48,5";"10,7";"54,5";"58,5";"9,8";"13,8";"13,0";".";"."
"Blauwe Zand";"Buurt";"1";"1910";"930";"975";"305";"195";"475";"600";"335";"11330";"1500";".";".";"48,5";"10,7";"54,5";"58,5";"9,8";"13,8";"13,0";"1025";"1"
"Nieuwendammerdijk/Buiksloterdijk";"Wijk";"1";"1685";"830";"850";"400";"160";"330";"545";"255";"4714";"1200";".";".";"27,8";"41,3";"67,2";"16,3";"53,2";"3,0";"2,9";".";"."
"Buiksloterdijk West";"Buurt";"1";"145";"65";"75";"30";"15";"25";"50";"25";"6467";"100";".";".";"25,9";"44,4";"56,8";".";".";".";".";"1034";"1"
"Buiksloterdijk Oost";"Buurt";"1";"125";"55";"65";"15";"15";"20";"40";"40";"4939";"100";".";".";"25,4";"36,0";".";".";".";".";".";"1025";"1"
"Nieuwendammmerdijk West";"Buurt";"1";"1045";"520";"520";"260";"90";"210";"350";"145";"10472";"800";".";".";"27,8";"41,1";"68,5";"17,2";"52,5";"2,6";"2,1";"1025";"1"
"Nieuwendammerdijk Oost";"Buurt";"1";"360";"175";"180";"95";"35";"80";"105";"45";"5227";"300";".";".";"29,3";"42,5";"69,7";"15,9";"52,3";"3,0";"3,8";"1023";"1"
"Nieuwendammerdijk Zuid";"Buurt";"1";"5";"0";"0";"0";"5";"0";"5";"0";".";"0";".";".";".";".";".";".";".";".";".";"1023";"1"
"Tuindorp Oostzaan";"Wijk";"1";"11525";"5540";"5985";"2040";"1105";"3255";"3140";"1995";"7251";"8900";"28,0";"22,2";"43,2";"14,5";"59,4";"52,6";"13,8";"12,6";"12,3";".";"."
"Tuindorp Oostzaan West";"Buurt";"1";"1180";"535";"645";"150";"95";"225";"320";"390";"6842";"900";".";".";"44,5";"12,6";"54,4";"56,1";"12,5";"9,6";"12,0";"1033";"1"
"Tuindorp Oostzaan Oost";"Buurt";"1";"4220";"1935";"2285";"705";"400";"1145";"1175";"805";"8350";"3400";"26,1";"21,0";"44,9";"11,9";"57,8";"53,3";"10,2";"11,5";"11,6";"1033";"1"
"Terrasdorp";"Buurt";"1";"3980";"1990";"1985";"520";"375";"1130";"1205";"755";"6105";"3200";"26,5";"22,2";"46,3";"11,5";"56,5";"60,2";"9,2";"16,1";"15,5";"1033";"1"
"De Bongerd";"Buurt";"1";"2145";"1075";"1065";"665";"235";"755";"445";"50";"8257";"1400";".";".";"31,5";"28,5";"71,8";"25,8";"38,7";"7,9";"4,7";"1036";"1"
"Oostzanerwerf";"Wijk";"1";"8885";"4325";"4560";"1515";"1165";"2225";"2685";"1305";"3507";"7000";"29,5";"23,6";"40,5";"17,7";"60,5";"43,5";"17,8";"10,4";"9,1";".";"."
"Oostzanerdijk";"Buurt";"1";"400";"195";"205";"65";"45";"85";"150";"65";"902";"300";".";".";"35,2";"26,5";"68,8";"34,5";"32,2";"6,7";"10,3";"1035";"4"
"Walvisbuurt";"Buurt";"1";"1435";"705";"725";"220";"230";"345";"495";"150";"2945";"1200";".";".";"36,0";"21,2";"66,0";"28,5";"23,8";"4,7";"4,1";"1035";"1"
"Twiske West";"Buurt";"1";"2430";"1220";"1210";"390";"345";"490";"900";"310";"6668";"2000";".";".";"35,2";"25,5";"64,5";"25,9";"33,5";"5,4";"4,6";"1035";"1"
"Noorder IJplas";"Buurt";"1";"145";"75";"65";"25";"10";"15";"70";"30";"188";"100";".";".";"34,2";"23,1";"59,3";".";".";".";".";"1037";"1"
"Molenwijk";"Buurt";"1";"3125";"1440";"1680";"635";"410";"830";"645";"610";"10305";"2400";".";"17,2";"52,0";"7,3";"48,7";"63,8";"4,8";"17,4";"14,8";"1035";"1"
"Circus/Kermisbuurt";"Buurt";"1";"1340";"675";"665";"185";"130";"465";"425";"145";"8452";"1100";".";".";"32,5";"19,3";"67,8";"39,6";"14,4";"9,1";"7,9";"1033";"1"
"Kadoelen";"Wijk";"1";"3115";"1495";"1620";"590";"315";"710";"975";"530";"2310";"2400";".";"28,1";"35,9";"24,2";"64,0";"31,0";"31,0";"6,7";"6,0";".";"."
"Kadoelen";"Buurt";"1";"2000";"955";"1045";"410";"185";"470";"620";"325";"1716";"1500";".";".";"34,5";"28,6";"64,9";"28,7";"34,5";"6,2";"5,9";"1035";"1"
"Twiske Oost";"Buurt";"1";"1115";"540";"575";"180";"135";"245";"360";"205";"6090";"900";".";".";"38,2";"16,8";"62,4";"35,1";"24,5";"7,5";"6,2";"1035";"1"
"Waterlandpleinbuurt";"Wijk";"1";"13175";"6440";"6730";"2845";"1770";"4030";"2965";"1570";"9247";"9600";"26,3";"19,4";"47,2";"13,0";"56,3";"51,9";"10,2";"15,5";"13,9";".";"."
